"id";"time";"attrstring";"value"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:00:00+07";"";"0.014"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:00:00+07";"";"1.212"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:00:31+07";"";"44.6"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:01:00+07";"";"0.014"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:01:00+07";"";"1.196"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:01:30+07";"";"44.7"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:02:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:02:00+07";"";"1.213"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:02:28+07";"";"44.7"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:03:00+07";"";"0.018"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:03:00+07";"";"1.209"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:03:27+07";"";"44.7"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:04:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:04:00+07";"";"1.209"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:04:25+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:05:00+07";"";"0.014"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:05:00+07";"";"1.196"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:05:24+07";"";"44.7"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:06:00+07";"";"0.014"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:06:00+07";"";"1.213"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:07:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:07:00+07";"";"1.213"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:07:22+07";"";"44.7"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:08:00+07";"";"0.016"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:08:00+07";"";"1.214"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:08:20+07";"";"44.7"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:09:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:09:00+07";"";"1.199"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:09:19+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:10:00+07";"";"0.015"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:10:00+07";"";"1.184"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:10:17+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:11:00+07";"";"0.014"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:11:00+07";"";"1.106"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:11:16+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:12:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:12:00+07";"";"1.105"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:12:14+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:13:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:13:00+07";"";"1.089"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:13:13+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:14:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:14:00+07";"";"1.105"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:14:11+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:15:00+07";"";"0.014"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:15:00+07";"";"1.106"
